iter	Logloss
0	0.6682700238
1	0.6421474065
2	0.6197086636
3	0.5975157796
4	0.5782594205
5	0.5583299206
6	0.5410725792
7	0.5259757034
8	0.5113015989
9	0.4986542911
10	0.4853494862
11	0.4746452443
12	0.4635175151
13	0.4535648827
14	0.4435549023
15	0.4344478126
16	0.4264927302
17	0.4181455909
18	0.4098129138
19	0.4031679573
20	0.3969630625
21	0.3905063305
22	0.3838255404
23	0.3783895453
24	0.3729419876
25	0.3677615526
26	0.3620415025
27	0.3582742909
28	0.3534669759
29	0.3494202197
30	0.3453029778
31	0.342276529
32	0.3394467172
33	0.336216794
34	0.3329098341
35	0.3298723954
36	0.327330469
37	0.3240363605
38	0.3207912948
39	0.3181031705
40	0.3159565229
41	0.3136324259
42	0.3111794212
43	0.3090339549
44	0.3057012206
45	0.3035755146
46	0.3018813863
47	0.2992717486
48	0.2968930958
49	0.2951561533
50	0.292894935
51	0.2906916912
52	0.2889412888
53	0.2875199214
54	0.2861486888
55	0.2847465806
56	0.283225964
57	0.2813369169
58	0.2798605284
59	0.2784004279
60	0.2769338658
61	0.2753974087
62	0.2740836135
63	0.2725385291
64	0.2710331444
65	0.269976735
66	0.2684711893
67	0.2671424485
68	0.2658644511
69	0.2647392385
70	0.2637925313
71	0.2622334321
72	0.2612995226
73	0.2601929785
74	0.258975354
75	0.25710417
76	0.2561690076
77	0.2553031317
78	0.2539782751
79	0.2527988467
80	0.2517944157
81	0.2505946185
82	0.2497515815
83	0.2487687544
84	0.2475002255
85	0.2462010716
86	0.2450791703
87	0.2438208079
88	0.2428450688
89	0.2419476372
90	0.2411005373
91	0.2402916872
92	0.2393615902
93	0.2383257466
94	0.2377181515
95	0.2369160493
96	0.2360713299
97	0.2351910812
98	0.234309687
99	0.23362808
100	0.2328180844
101	0.2317737389
102	0.2309263884
103	0.2303376587
104	0.2293142548
105	0.2285509753
106	0.2279997258
107	0.2273691306
108	0.2267903527
109	0.2259189281
110	0.2252471118
111	0.2248030229
112	0.2241687227
113	0.2237573171
114	0.223110595
115	0.2223256757
116	0.2217726363
117	0.2211715206
118	0.2204190341
119	0.2197350108
120	0.2192245707
121	0.2181888166
122	0.2176256465
123	0.2170377938
124	0.2165314705
125	0.2161255241
126	0.2154567685
127	0.2149592514
128	0.2145779159
129	0.2140945032
130	0.2134113211
131	0.2130052315
132	0.2124693929
133	0.2118680445
134	0.2110209445
135	0.2104960601
136	0.2099597204
137	0.2092318985
138	0.2088101116
139	0.2082137032
140	0.2077656944
141	0.2073240398
142	0.2066564476
143	0.2062695456
144	0.2058069671
145	0.2054678551
146	0.2050630184
147	0.2046261427
148	0.2042904672
149	0.2039603225
150	0.2036416689
151	0.2031661674
152	0.2027048061
153	0.2022161489
154	0.2017441915
155	0.2013243376
156	0.2009047522
157	0.2005678954
158	0.2001239318
159	0.1999040262
160	0.199574508
161	0.1989513229
162	0.1985782388
163	0.1982332381
164	0.1979105751
165	0.1975475143
166	0.1972045003
167	0.1969064841
168	0.1965574382
169	0.1960724503
170	0.1956036431
171	0.1952642625
172	0.1950272815
173	0.1946385
174	0.1942986005
175	0.1940747392
176	0.1936191771
177	0.1934077378
178	0.1929974956
179	0.1926613548
180	0.1922497165
181	0.1920659309
182	0.1917766672
183	0.1913244879
184	0.1909969207
185	0.1904556767
186	0.1902560684
187	0.1899615425
188	0.1896577807
189	0.1891921594
190	0.1888135625
191	0.1883987919
192	0.1878982857
193	0.1874484333
194	0.1870523134
195	0.1867713727
196	0.1864542763
197	0.1862955848
198	0.1859708277
199	0.1857771261
200	0.1855073364
201	0.1852213303
202	0.1848261948
203	0.1845527358
204	0.1842463429
205	0.1840241463
206	0.1837314281
207	0.1834720377
208	0.1831265357
209	0.1828830395
210	0.1826894631
211	0.1824073411
212	0.1821488456
213	0.1819867534
214	0.1816351479
215	0.1814255521
216	0.1812488545
217	0.18094239
218	0.1806218749
219	0.1804101312
220	0.1800402331
221	0.1798183766
222	0.1795807511
223	0.1794191959
224	0.1791363579
225	0.1788626483
226	0.1786385545
227	0.178329065
228	0.1780475695
229	0.1778098366
230	0.1774582312
231	0.1772020983
232	0.176956132
233	0.1767342218
234	0.1764735784
235	0.1761634625
236	0.1759535445
237	0.1757376125
238	0.1756064854
239	0.1754056601
240	0.1750125292
241	0.1748960791
242	0.1744658439
243	0.1743074568
244	0.1741565693
245	0.1739506249
246	0.1736348351
247	0.1734303405
248	0.1731914621
249	0.1729931068
250	0.1727404821
251	0.1725113765
252	0.1723527567
253	0.1721481547
254	0.1719129277
255	0.1716092733
256	0.171350205
257	0.1710899912
258	0.1708490903
259	0.170731441
260	0.1705116071
261	0.170364353
262	0.1702082928
263	0.170075143
264	0.1699579054
265	0.1697421882
266	0.1693774092
267	0.1692175902
268	0.1689966823
269	0.168686101
270	0.1684597877
271	0.1683497454
272	0.1682187078
273	0.1680298031
274	0.1678120275
275	0.1675859647
276	0.1673447774
277	0.1671209878
278	0.1669204846
279	0.1668331381
280	0.1666313104
281	0.1664913054
282	0.1663148226
283	0.166113317
284	0.1658758348
285	0.1656643954
286	0.1654163707
287	0.165263049
288	0.165080749
289	0.1648880855
290	0.1646167923
291	0.1644963329
292	0.1643634874
293	0.1642468584
294	0.1640082664
295	0.1637596869
296	0.1635896834
297	0.1634067927
298	0.1633037847
299	0.1631233282
300	0.1629680555
301	0.1628007011
302	0.1626740486
303	0.1625077144
304	0.1623609079
305	0.1620467826
306	0.1618602048
307	0.1617157788
308	0.1615442718
309	0.1613354635
310	0.1612517326
311	0.1610526792
312	0.1608605527
313	0.1606777158
314	0.1604550359
315	0.1602003349
316	0.1599921352
317	0.159826517
318	0.15965501
319	0.1595548658
320	0.1593953689
321	0.1592357826
322	0.1590187587
323	0.1588046345
324	0.1586356334
325	0.1584720914
326	0.1582936933
327	0.1581908822
328	0.157929666
329	0.157806665
330	0.1576457362
331	0.1575541119
332	0.157354969
333	0.15713603
334	0.1570389465
335	0.1567651654
336	0.1566847994
337	0.1564747024
338	0.1564048074
339	0.1562928141
340	0.1562165291
341	0.1560866012
342	0.1559231666
343	0.1557712231
344	0.1556138204
345	0.1554840535
346	0.1552870764
347	0.155052637
348	0.1549163013
349	0.1547892014
350	0.1546963062
351	0.154614043
352	0.1543962853
353	0.1542729979
354	0.1541052497
355	0.1539152352
356	0.1537857906
357	0.1536330774
358	0.1535413278
359	0.1533828154
360	0.1532901171
361	0.1532107356
362	0.1530202558
363	0.1528434686
364	0.1526346246
365	0.1525102453
366	0.1523924707
367	0.1522469529
368	0.1521157542
369	0.1519910169
370	0.1518391092
371	0.1516487905
372	0.1514293861
373	0.1511978463
374	0.1510788367
375	0.1509416239
376	0.1508297201
377	0.1506745727
378	0.1504988774
379	0.150406734
380	0.1501687148
381	0.1500022105
382	0.1498299876
383	0.1497082484
384	0.1495163188
385	0.1493999582
386	0.1492735384
387	0.1490928404
388	0.1488833967
389	0.1487002018
390	0.1485552835
391	0.1484257941
392	0.1483228219
393	0.1481894306
394	0.1480174314
395	0.1478407426
396	0.1476913228
397	0.1475212925
398	0.1474275024
399	0.1473146321
400	0.1471421586
401	0.1470284202
402	0.1468611552
403	0.1467544869
404	0.1466183391
405	0.1464989715
406	0.1463029341
407	0.1462005884
408	0.1460935889
409	0.1459840657
410	0.1457980248
411	0.1456996884
412	0.1455242258
413	0.1453527904
414	0.1451546319
415	0.145037099
416	0.1449430404
417	0.1448479706
418	0.144760463
419	0.1446115354
420	0.1444598782
421	0.1443291001
422	0.1442141894
423	0.1440025889
424	0.1438656894
425	0.1437058972
426	0.1436246094
427	0.1434746258
428	0.1433643688
429	0.1432506662
430	0.1431530189
431	0.1429800084
432	0.1428633614
433	0.1427007412
434	0.1426242414
435	0.1424872166
436	0.1424002013
437	0.1422924769
438	0.1421247287
439	0.1419896727
440	0.1418818588
441	0.1418370222
442	0.1416327781
443	0.1414633832
444	0.1412682676
445	0.1411622884
446	0.1410217196
447	0.1409530147
448	0.1408822068
449	0.1407717708
450	0.1406914585
451	0.14063633
452	0.1404665413
453	0.1403294001
454	0.1401929302
455	0.1401014759
456	0.1399291903
457	0.1397492976
458	0.1396245425
459	0.1394710239
460	0.1393812879
461	0.1393110079
462	0.1392270891
463	0.1390661693
464	0.138855947
465	0.1387576911
466	0.1386395496
467	0.138569037
468	0.1384574107
469	0.1382600756
470	0.1381455676
471	0.1379157729
472	0.1377356297
473	0.1375958216
474	0.1374138885
475	0.1372419341
476	0.1371454681
477	0.1370642519
478	0.1369084423
479	0.136763533
480	0.1366003669
481	0.1363786535
482	0.136225994
483	0.1361661044
484	0.1360012021
485	0.1359434066
486	0.1358772882
487	0.1357877401
488	0.1357065598
489	0.1355973767
490	0.1354798437
491	0.135387396
492	0.1352728343
493	0.1351803419
494	0.1350953222
495	0.1349416783
496	0.134851298
497	0.134707221
498	0.1346014744
499	0.1345152914
500	0.1343804771
501	0.1342307351
502	0.134101362
503	0.1339818871
504	0.1339240558
505	0.1337906197
506	0.1336521451
507	0.1335226736
508	0.1333423961
509	0.1332175962
510	0.1331477459
511	0.133033032
512	0.1329874704
513	0.1328349452
514	0.1327280621
515	0.1326724503
516	0.1325830186
517	0.1324987865
518	0.1324247925
519	0.1323346896
520	0.132233203
521	0.1320812952
522	0.1320322165
523	0.1319367082
524	0.1317779004
525	0.1316566445
526	0.1316012833
527	0.1314502347
528	0.1313321737
529	0.1312142023
530	0.1311328966
531	0.1310112469
532	0.1308986451
533	0.1307504067
534	0.1306996902
535	0.1306460652
536	0.1305423949
537	0.1304970839
538	0.1303803833
539	0.1302543394
540	0.1301290115
541	0.130030693
542	0.1299012931
543	0.1298474264
544	0.1297561601
545	0.1296501182
546	0.1295352343
547	0.1294996155
548	0.1294552084
549	0.1294093515
550	0.1292828602
551	0.1291191929
552	0.1290390417
553	0.1289244263
554	0.1288415366
555	0.1287079842
556	0.1285695722
557	0.1284813129
558	0.1283467312
559	0.1282137426
560	0.1281507833
561	0.1280447415
562	0.1279325245
563	0.127816683
564	0.1276708877
565	0.1275825389
566	0.1274503915
567	0.1272887378
568	0.1272202299
569	0.1270770031
570	0.1269536441
571	0.1268432259
572	0.1266608633
573	0.1265788327
574	0.1265045166
575	0.126416651
576	0.1262684842
577	0.1262117805
578	0.1261094616
579	0.1260349576
580	0.125938062
581	0.125881081
582	0.1257632437
583	0.1256688272
584	0.1255519654
585	0.1254611645
586	0.1253819082
587	0.1253136598
588	0.1252599632
589	0.1251997693
590	0.1251630319
591	0.1250964033
592	0.1250533834
593	0.1249541789
594	0.1248544553
595	0.124775575
596	0.1246650047
597	0.1246217431
598	0.1245629901
599	0.1245217063
600	0.1243948212
601	0.124329025
602	0.1242661641
603	0.1241494277
604	0.1240840878
605	0.1239673156
606	0.1238632605
607	0.1237915487
608	0.1236480265
609	0.1236093292
610	0.1235318808
611	0.1234550051
612	0.1233462515
613	0.1232884203
614	0.1231941022
615	0.1230994887
616	0.1229913527
617	0.122945102
618	0.1228948241
619	0.1228089274
620	0.1227147525
621	0.1226420383
622	0.122575186
623	0.1224798566
624	0.1223453108
625	0.1222750398
626	0.1221928571
627	0.1220860188
628	0.121985096
629	0.1219300927
630	0.1218737292
631	0.121784915
632	0.1217271374
633	0.121688279
634	0.1216696104
635	0.1215675332
636	0.1214055484
637	0.1212796566
638	0.1212431519
639	0.1211908156
640	0.1211251804
641	0.1210242934
642	0.1209890953
643	0.1208612615
644	0.1207606609
645	0.1206326661
646	0.1206027123
647	0.1205689819
648	0.1204593782
649	0.1203618114
650	0.1202897863
651	0.1201800573
652	0.12011214
653	0.1200284449
654	0.1199243629
655	0.1198632204
656	0.1197583509
657	0.1196104525
658	0.1195101114
659	0.1194504992
660	0.1193994069
661	0.1193150406
662	0.1192384334
663	0.1191428803
664	0.1190731999
665	0.1190210695
666	0.1188750773
667	0.1188254437
668	0.118787516
669	0.1187475121
670	0.1187001516
671	0.1186186044
672	0.118507873
673	0.1184620787
674	0.1183647984
675	0.1183080858
676	0.1182163272
677	0.1181146258
678	0.1180309844
679	0.1179343931
680	0.1178447645
681	0.1177816352
