iter	Passed	Remaining
0	19	19156
1	35	17509
2	50	16767
3	68	17100
4	83	16659
5	97	16224
6	113	16046
7	131	16355
8	148	16373
9	162	16134
10	181	16285
11	196	16149
12	213	16190
13	232	16375
14	247	16253
15	264	16261
16	281	16281
17	298	16271
18	314	16233
19	329	16159
20	344	16062
21	359	15969
22	375	15954
23	396	16108
24	414	16154
25	430	16136
26	446	16077
27	463	16101
28	481	16124
29	498	16115
30	514	16091
31	530	16054
32	545	15993
33	562	15977
34	578	15940
35	593	15886
36	611	15907
37	630	15953
38	648	15987
39	665	15981
40	682	15970
41	698	15934
42	717	15968
43	733	15928
44	749	15897
45	765	15877
46	783	15883
47	800	15867
48	819	15896
49	838	15924
50	853	15884
51	868	15834
52	884	15808
53	901	15785
54	920	15809
55	936	15786
56	953	15773
57	970	15763
58	987	15747
59	1003	15719
60	1018	15673
61	1035	15673
62	1050	15619
63	1065	15580
64	1081	15558
65	1097	15532
66	1117	15556
67	1134	15542
68	1150	15520
69	1164	15477
70	1180	15447
71	1196	15427
72	1213	15408
73	1232	15420
74	1254	15475
75	1271	15454
76	1288	15445
77	1304	15422
78	1320	15399
79	1337	15383
80	1354	15369
81	1370	15347
82	1386	15322
83	1403	15304
84	1419	15283
85	1435	15261
86	1455	15272
87	1472	15257
88	1488	15235
89	1504	15213
90	1521	15199
91	1538	15180
92	1555	15174
93	1572	15155
94	1588	15133
95	1607	15139
96	1626	15139
97	1641	15109
98	1661	15125
99	1677	15093
100	1694	15086
101	1711	15064
102	1726	15035
103	1745	15041
104	1765	15046
105	1782	15034
106	1798	15011
107	1815	14995
108	1831	14971
109	1847	14948
110	1864	14933
111	1880	14912
112	1896	14890
113	1913	14870
114	1932	14873
115	1950	14860
116	1967	14849
117	1989	14870
118	2007	14859
119	2025	14851
120	2046	14869
121	2066	14871
122	2082	14846
123	2100	14839
124	2118	14826
125	2136	14816
126	2152	14795
127	2166	14757
128	2186	14766
129	2206	14767
130	2222	14745
131	2239	14726
132	2255	14700
133	2273	14692
134	2289	14670
135	2306	14649
136	2323	14633
137	2341	14625
138	2358	14608
139	2377	14601
140	2395	14595
141	2414	14589
142	2432	14579
143	2454	14590
144	2471	14571
145	2488	14557
146	2505	14536
147	2521	14514
148	2537	14492
149	2553	14470
150	2570	14449
151	2587	14435
152	2605	14422
153	2621	14400
154	2637	14377
155	2653	14355
156	2669	14334
157	2686	14316
158	2704	14304
159	2720	14281
160	2736	14262
161	2754	14250
162	2771	14230
163	2787	14208
164	2805	14195
165	2820	14172
166	2839	14165
167	2856	14144
168	2872	14122
169	2888	14101
170	2906	14090
171	2925	14081
172	2941	14061
173	2956	14035
174	2972	14014
175	2988	13993
176	3004	13971
177	3023	13962
178	3040	13944
179	3055	13918
180	3070	13894
181	3089	13886
182	3105	13863
183	3121	13845
184	3136	13818
185	3152	13796
186	3175	13805
187	3193	13794
188	3211	13780
